I0,I1,I2,I3,I4,I5,I6,I7,I8,I9,I10,I11
-222.671814,-29.493109,-0.192155,0.001165,0.000001,0.094132,-0.190971,0.981596,0.320859,0.000000,0.000000,9.803590
-222.706314,-29.498417,-0.192147,0.003231,0.000010,4.206595,-0.190956,0.981599,0.320859,0.000000,0.000000,9.703076
-222.711563,-29.496315,-0.192128,0.002074,0.000004,1.796208,-0.190948,0.981601,0.320859,0.000000,0.000000,9.731794
-222.703186,-29.499197,-0.192116,0.003141,0.000010,-1.168518,-0.190936,0.981603,0.320859,0.000000,0.000000,9.710257
-222.691055,-29.489235,-0.192114,-0.000818,0.000001,0.557642,-0.190946,0.981601,0.320859,0.000000,0.000000,9.741667
-222.717148,-29.501049,-0.192128,0.003069,0.000009,1.203198,-0.190948,0.981600,0.320859,0.000000,0.000000,9.797307
-222.740616,-29.495972,-0.192109,0.001028,0.000001,-4.320719,-0.190926,0.981604,0.320859,0.000000,0.000000,9.772180
-222.765564,-29.497257,-0.192096,0.002632,0.000007,-0.407487,-0.190917,0.981606,0.320859,0.000000,0.000000,9.733589
-222.735672,-29.494478,-0.192089,0.000060,0.000000,-4.009788,-0.190910,0.981607,0.320859,0.000000,0.000000,9.741667
-222.760818,-29.495415,-0.192087,0.000060,0.000000,-1.739752,-0.190904,0.981609,0.320859,0.000000,0.000000,9.786538
-222.781143,-29.501963,-0.192082,0.000135,0.000000,0.609246,-0.190903,0.981607,0.320859,0.000000,0.000000,9.770385
-222.759308,-29.508484,-0.192084,0.005605,0.000031,0.530287,-0.190905,0.981609,0.320859,0.000000,0.000000,9.721923
-222.813904,-29.509239,-0.192067,0.005497,0.000030,0.155307,-0.190889,0.981613,0.320859,0.000000,0.000000,9.681539
-222.774567,-29.499662,-0.192058,-0.000339,0.000000,-1.005443,-0.190883,0.981613,0.320859,0.000000,0.000000,9.753333
-222.723572,-29.508595,-0.192066,0.004290,0.000018,0.095850,-0.190880,0.981613,0.320859,0.000000,0.000000,9.738077
-222.758438,-29.481762,-0.192075,-0.007061,0.000050,-0.034914,-0.190896,0.981609,0.320859,0.000000,0.000000,9.771282
-222.730530,-29.508972,-0.192065,0.004648,0.000022,-1.655351,-0.190887,0.981613,0.320859,0.000000,0.000000,9.762307
-222.710434,-29.499125,-0.192064,-0.001125,0.000001,-0.877292,-0.190886,0.981612,0.320859,0.000000,0.000000,9.686026
-222.722198,-29.498482,-0.192063,-0.000820,0.000001,-4.082479,-0.190888,0.981612,0.320859,0.000000,0.000000,9.714744
-222.745117,-29.513233,-0.192072,0.003947,0.000016,2.197184,-0.190897,0.981610,0.320859,0.000000,0.000000,9.800000
-222.745178,-29.511578,-0.192069,0.002866,0.000008,0.650319,-0.190886,0.981612,0.320859,0.000000,0.000000,9.779359
-222.715698,-29.503593,-0.192063,0.000090,0.000000,0.076520,-0.190880,0.981613,0.320859,0.000000,0.000000,9.744359
-222.734558,-29.504488,-0.192062,0.000030,0.000000,1.093991,-0.190883,0.981613,0.320859,0.000000,0.000000,9.752436
-222.722809,-29.510633,-0.192045,0.001891,0.000004,-3.198749,-0.190874,0.981615,0.320859,0.000000,0.000000,9.770385
-222.710159,-29.508043,-0.192066,-0.000480,0.000000,2.212577,-0.190887,0.981612,0.320859,0.000000,0.000000,9.747051
-222.703522,-29.507660,-0.192068,-0.000230,0.000000,-0.282243,-0.190893,0.981611,0.320859,0.000000,0.000000,9.771282
-222.704742,-29.506109,-0.192073,-0.001337,0.000002,-0.514811,-0.190887,0.981612,0.320859,0.000000,0.000000,9.765897
-222.720215,-29.510666,-0.192044,0.000800,0.000001,-4.177166,-0.190866,0.981616,0.320859,0.000000,0.000000,9.708462
-222.674957,-29.510965,-0.192032,0.000778,0.000001,-2.441934,-0.190857,0.981618,0.320859,0.000000,0.000000,9.756025
-222.664307,-29.503912,-0.192049,-0.002036,0.000004,2.035414,-0.190871,0.981617,0.320859,0.000000,0.000000,9.701282
-222.668716,-29.501345,-0.192046,-0.004687,0.000022,-3.603865,-0.190879,0.981614,0.320859,0.000000,0.000000,9.715641
-222.670715,-29.518684,-0.192052,0.002897,0.000008,1.095097,-0.190874,0.981616,0.320859,0.000000,0.000000,9.791923
-222.647522,-29.515249,-0.192044,0.000491,0.000000,1.888914,-0.190866,0.981616,0.320859,0.000000,0.000000,9.765897
-222.676788,-29.517200,-0.192047,0.001977,0.000004,0.885061,-0.190869,0.981617,0.320859,0.000000,0.000000,9.718333
-222.664154,-29.511461,-0.192040,-0.001561,0.000002,-0.320915,-0.190862,0.981617,0.320859,0.000000,0.000000,9.742564
-222.656708,-29.517517,-0.192049,0.000448,0.000000,0.715981,-0.190871,0.981615,0.320859,0.000000,0.000000,9.756025
-222.705780,-29.505125,-0.192051,-0.004541,0.000021,-1.370905,-0.190873,0.981615,0.320859,0.000000,0.000000,9.731794
-222.718292,-29.512558,-0.192041,-0.001225,0.000002,-4.931809,-0.190862,0.981617,0.320859,0.000000,0.000000,9.800000
-222.743057,-29.510096,-0.192047,-0.002032,0.000004,1.206549,-0.190869,0.981616,0.320859,0.000000,0.000000,9.721025
-222.722321,-29.511604,-0.192049,-0.002360,0.000006,-0.204214,-0.190871,0.981614,0.320859,0.000000,0.000000,9.787436
-222.712692,-29.521053,-0.192032,0.001856,0.000003,-4.489287,-0.190854,0.981618,0.320859,0.000000,0.000000,9.784743
-222.673370,-29.513981,-0.192039,-0.001147,0.000001,-0.653208,-0.190861,0.981618,0.320859,0.000000,0.000000,9.704871
-222.697006,-29.520622,-0.192021,0.002322,0.000005,-0.858019,-0.190839,0.981621,0.320859,0.000000,0.000000,9.733589
-222.708984,-29.517542,-0.192005,-0.000287,0.000000,-2.527980,-0.190827,0.981622,0.320859,0.000000,0.000000,9.738077
-222.709213,-29.514572,-0.192038,-0.002614,0.000007,5.735207,-0.190860,0.981617,0.320859,0.000000,0.000000,9.801795
-222.677612,-29.519241,-0.192031,-0.000299,0.000000,-2.172295,-0.190853,0.981618,0.320859,0.000000,0.000000,9.745256
-222.700073,-29.525621,-0.192032,0.003338,0.000011,4.151589,-0.190847,0.981619,0.320859,0.000000,0.000000,9.790128
-222.692902,-29.518644,-0.192035,-0.001412,0.000002,0.721032,-0.190857,0.981618,0.320859,0.000000,0.000000,9.747949
-222.712357,-29.515856,-0.192041,-0.002142,0.000005,0.158002,-0.190867,0.981616,0.320859,0.000000,0.000000,9.722820
-222.716827,-29.528530,-0.192054,0.003142,0.000010,3.585779,-0.190880,0.981614,0.320859,0.000000,0.000000,9.671666
-222.723694,-29.520603,-0.192067,-0.001441,0.000002,-1.200710,-0.190888,0.981610,0.320859,0.000000,0.000000,9.721923
-222.691101,-29.519030,-0.192078,-0.000771,0.000001,-0.105283,-0.190888,0.981612,0.320859,0.000000,0.000000,9.748846
-222.732391,-29.521160,-0.192058,0.000182,0.000000,-1.082365,-0.190872,0.981614,0.320859,0.000000,0.000000,9.776667
-222.735611,-29.544022,-0.192024,0.009213,0.000085,-1.284974,-0.190842,0.981620,0.320859,0.000000,0.000000,9.712051
-222.694000,-29.525805,-0.192042,0.000887,0.000001,6.086466,-0.190864,0.981618,0.320859,0.000000,0.000000,9.789230
-222.746780,-29.512453,-0.192045,-0.003822,0.000015,-0.720469,-0.190871,0.981616,0.320859,0.000000,0.000000,9.740769
-222.731689,-29.517738,-0.192039,-0.001647,0.000003,0.709121,-0.190861,0.981617,0.320859,0.000000,0.000000,9.802692
-222.741348,-29.529457,-0.192034,0.002098,0.000004,3.262554,-0.190856,0.981618,0.320859,0.000000,0.000000,9.723718
-222.760086,-29.528055,-0.192041,0.000959,0.000001,1.228600,-0.190870,0.981615,0.320859,0.000000,0.000000,9.721025
-222.750717,-29.539209,-0.192041,0.004919,0.000024,3.117033,-0.190863,0.981618,0.320859,0.000000,0.000000,9.748846
-222.774445,-29.508053,-0.192044,-0.007039,0.000050,-1.978203,-0.190873,0.981615,0.320859,0.000000,0.000000,9.828718
-222.788925,-29.514078,-0.192049,-0.005224,0.000027,-5.438597,-0.190871,0.981613,0.320859,0.000000,0.000000,9.773974
-222.781082,-29.523813,-0.192057,-0.000842,0.000001,-3.103035,-0.190883,0.981613,0.320859,0.000000,0.000000,9.784743
-222.768906,-29.528179,-0.192072,-0.000178,0.000000,3.285608,-0.190893,0.981612,0.320859,0.000000,0.000000,9.764999
-222.738892,-29.516916,-0.192081,-0.003838,0.000015,2.295234,-0.190902,0.981608,0.320859,0.000000,0.000000,9.769487
-222.732391,-29.526278,-0.192076,-0.001248,0.000002,-5.660254,-0.190897,0.981608,0.320859,0.000000,0.000000,9.738975
-222.755081,-29.524799,-0.192093,-0.002426,0.000006,-1.253137,-0.190914,0.981606,0.320859,0.000000,0.000000,9.747949
-222.756058,-29.543867,-0.192082,0.006071,0.000037,0.949577,-0.190907,0.981608,0.320859,0.000000,0.000000,9.716538
-222.761841,-29.528158,-0.192102,0.000315,0.000000,0.051829,-0.190912,0.981607,0.320859,0.000000,0.000000,9.714744
-222.764374,-29.541887,-0.192075,0.006664,0.000044,2.307645,-0.190889,0.981611,0.320859,0.000000,0.000000,9.732692
-222.746216,-29.519352,-0.192089,-0.004244,0.000018,4.106823,-0.190914,0.981607,0.320859,0.000000,0.000000,9.734487
-222.743301,-29.524147,-0.192095,-0.001880,0.000004,0.426851,-0.190916,0.981606,0.320859,0.000000,0.000000,9.701282
-222.734619,-29.529215,-0.192083,-0.001608,0.000003,-5.262795,-0.190904,0.981607,0.320859,0.000000,0.000000,9.766794
-222.753738,-29.531340,-0.192109,-0.000134,0.000000,5.317355,-0.190922,0.981605,0.320859,0.000000,0.000000,9.773077
-222.751862,-29.534447,-0.192091,0.002429,0.000006,-2.516519,-0.190920,0.981605,0.320859,0.000000,0.000000,9.752436
-222.762039,-29.530041,-0.192106,-0.001407,0.000002,-2.269231,-0.190930,0.981604,0.320859,0.000000,0.000000,9.761410
-222.765396,-29.534260,-0.192099,0.000922,0.000001,-2.212016,-0.190920,0.981606,0.320859,0.000000,0.000000,9.741667
-222.769440,-29.524290,-0.192111,-0.003095,0.000010,-1.058419,-0.190935,0.981603,0.320859,0.000000,0.000000,9.809872
-222.786102,-29.524164,-0.192114,-0.002975,0.000009,-1.748436,-0.190934,0.981603,0.320859,0.000000,0.000000,9.761410
-222.766724,-29.532263,-0.192117,0.000015,0.000000,1.931811,-0.190926,0.981604,0.320859,0.000000,0.000000,9.736281
-222.753906,-29.527191,-0.192109,-0.001980,0.000004,0.440264,-0.190930,0.981604,0.320859,0.000000,0.000000,9.767693
-222.736328,-29.516098,-0.192119,-0.007464,0.000056,-4.265852,-0.190950,0.981600,0.320859,0.000000,0.000000,9.715641
-222.714478,-29.541862,-0.192124,0.002696,0.000007,-1.389000,-0.190944,0.981601,0.320859,0.000000,0.000000,9.674358
-222.706482,-29.529030,-0.192128,-0.002195,0.000005,-2.998048,-0.190952,0.981600,0.320859,0.000000,0.000000,9.758718
-222.662659,-29.527431,-0.192117,-0.003412,0.000012,-4.372418,-0.190941,0.981602,0.320859,0.000000,0.000000,9.771282
-222.688812,-29.526403,-0.192127,-0.002940,0.000009,-2.515460,-0.190948,0.981598,0.320859,0.000000,0.000000,9.721923
-222.712982,-29.548014,-0.192125,0.005016,0.000025,0.293205,-0.190942,0.981601,0.320859,0.000000,0.000000,9.800898
-222.715897,-29.524757,-0.192146,-0.005648,0.000032,2.886755,-0.190966,0.981597,0.320859,0.000000,0.000000,9.770385
-222.684250,-29.536558,-0.192145,-0.000248,0.000000,1.927459,-0.190953,0.981599,0.320859,0.000000,0.000000,9.698589
-222.724854,-29.540123,-0.192121,0.002232,0.000005,2.258102,-0.190942,0.981601,0.320859,0.000000,0.000000,9.817948
-222.707733,-29.538101,-0.192129,0.001249,0.000002,0.208642,-0.190949,0.981600,0.320859,0.000000,0.000000,9.709359
-222.681824,-29.532429,-0.192148,-0.002272,0.000005,0.346212,-0.190968,0.981596,0.320859,0.000000,0.000000,9.710257
-222.684113,-29.530256,-0.192158,-0.003277,0.000011,0.032897,-0.190978,0.981595,0.320859,0.000000,0.000000,9.759615
-222.730728,-29.549080,-0.192147,0.005359,0.000029,5.179520,-0.190967,0.981599,0.320859,0.000000,0.000000,9.771282
-222.738647,-29.533625,-0.192148,-0.002442,0.000006,0.938512,-0.190968,0.981596,0.320859,0.000000,0.000000,9.735384
-222.699188,-29.530144,-0.192166,-0.004683,0.000022,2.261302,-0.190985,0.981593,0.320859,0.000000,0.000000,9.750641
-222.727737,-29.542282,-0.192150,0.002290,0.000005,-3.066808,-0.190970,0.981596,0.320859,0.000000,0.000000,9.807179
-222.744568,-29.541441,-0.192162,0.000971,0.000001,5.344524,-0.190981,0.981594,0.320859,0.000000,0.000000,9.754230
-222.701370,-29.527037,-0.192151,-0.005259,0.000028,-4.049570,-0.190971,0.981593,0.320859,0.000000,0.000000,9.691410
-222.696701,-29.543179,-0.192156,0.000793,0.000001,-3.286850,-0.190975,0.981594,0.320859,0.000000,0.000000,9.725513
-222.714920,-29.550934,-0.192160,0.003980,0.000016,4.637392,-0.190968,0.981596,0.320859,0.000000,0.000000,9.770385
-222.718140,-29.526409,-0.192163,-0.006356,0.000040,-1.188327,-0.190994,0.981591,0.320859,0.000000,0.000000,9.794615
-222.747360,-29.535034,-0.192184,-0.003291,0.000011,-0.895798,-0.191000,0.981590,0.320859,0.000000,0.000000,9.751538
-222.745468,-29.555754,-0.192158,0.006310,0.000040,0.047495,-0.190978,0.981593,0.320859,0.000000,0.000000,9.712949
-222.766815,-29.549736,-0.192167,0.002972,0.000009,0.845075,-0.190983,0.981593,0.320859,0.000000,0.000000,9.730897
-222.780029,-29.548510,-0.192180,0.001686,0.000003,3.503180,-0.190995,0.981591,0.320859,0.000000,0.000000,9.835000
-222.785568,-29.541473,-0.192185,-0.001361,0.000002,0.838280,-0.191004,0.981590,0.320859,0.000000,0.000000,9.727307
-222.767471,-29.547651,-0.192179,0.002200,0.000005,3.078896,-0.191002,0.981590,0.320859,0.000000,0.000000,9.700384
-222.805054,-29.556227,-0.192182,0.005071,0.000026,3.298123,-0.191001,0.981589,0.320859,0.000000,0.000000,9.668077
-222.792084,-29.554790,-0.192191,0.003906,0.000015,7.103136,-0.190995,0.981591,0.320859,0.000000,0.000000,9.656410
-222.799911,-29.548538,-0.192182,0.002378,0.000006,0.742843,-0.191001,0.981590,0.320859,0.000000,0.000000,9.713846
